author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Schember, John","John Schember","calibre Quick Start Guide","D:\story_books\John Schember\Quick Start Guide (1)\cover.jpg","2023-05-19T22:43:31+05:30","epub","","1","","eng","story_books","0101-01-01T05:30:00+05:30","","","","1.0","54898","","Quick Start Guide","Quick Start Guide","1f554500-a272-4832-a203-ef17f10d9edd"
"Andrews, Ilona","Andrews, Ilona","**Book Description:**
On the outside, Dina Demille is the epitome of normal. She runs a quaint Victorian Bed and Breakfast in a small Texas town, owns a Shih Tzu named Beast, and is a perfect neighbor, whose biggest problem should be what to serve her guests for breakfast. But Dina is...different: Her broom is a deadly weapon; her Inn is magic and thinks for itself. Meant to be a lodging for otherworldly visitors, the only permanent guest is a retired Galactic aristocrat who can’t leave the grounds because she’s responsible for the deaths of millions and someone might shoot her on sight. Under the circumstances, ""normal"" is a bit of a stretch for Dina.
And now, something with wicked claws and deepwater teeth has begun to hunt at night....Feeling responsible for her neighbors, Dina decides to get involved. Before long, she has to juggle dealing with the annoyingly attractive, ex-military, new neighbor, Sean Evans—an alpha-strain werewolf—and the equally arresting cosmic vampire soldier, Arland, while trying to keep her inn and its guests safe. But the enemy she’s facing is unlike anything she’s ever encountered before. It’s smart, vicious, and lethal, and putting herself between this creature and her neighbors might just cost her everything.
*“Andrews is an auto-buy no matter what the genre!” —Romantic Times*
*“If there is one author that defines Urban Fantasy, it is Ilona Andrews.” — Annie Tegelan, Fresh Fiction*
*""One of the brightest voices in urban fantasy and one of my favorite authors. Ilona Andrews delivers only the best."" —NYT and International bestselling author Jeaniene Frost*
**
**
**About the Author:**
Ilona Andrews is the pseudonym for a husband-and-wife writing team. Ilona is a native-born Russian and Gordon is a former communications sergeant in the U.S. Army. Contrary to popular belief, Gordon was never an intelligence officer with a license to kill, and Ilona was never the mysterious Russian spy who seduced him. They met in college, in English Composition 101, where Ilona got a better grade. (Gordon is still sore about that.)
Gordon and Ilona currently reside in Texas with their two children, and many dogs and cats. They have co-authored two series, the bestselling urban fantasy of Kate Daniels and romantic urban fantasy of The Edge.
[Read more about Kate Daniels…](http://kate.ilona-andrews.com)
","D:\story_books\Andrews, Ilona\Clean Sweep (69)\cover.jpg","2025-07-04T21:14:07+05:30","epub","9781625173430","69","isbn:9781625173430","eng","story_books","2013-12-02T10:30:00+05:30","NYLA","","","1.0","406649","Fantasy > Urban, Magic & Wizards, Science Fiction & Fantasy, Fiction, Science Fiction & Fantasy > Fantasy, The Edge Series, Science Fiction, witch, Fantasy Contemporary, Genre Fiction, Texas, Kate Daniels - Fictional Character, Magic, Ilona Andrews, Witches & Wizards, Kate Daniels World, Bestseller, Science Fiction And Fantasy, urban fantasy, vampires, Paranormal, The Edge, fantasy, New York Times Bestseller","Clean Sweep","Clean Sweep","35b78826-5a06-4606-86e3-3c84cf624e34"
"Osman, Richard","Richard Osman","<b><b>A <i>New York Times</i> bestseller!<br>&ldquo;Witty, endearing and greatly entertaining.&rdquo; <i>&mdash;Wall Street Journal</i></b><br> &#160;<br> <b>&ldquo;Don&rsquo;t trust anyone, including the four septuagenarian sleuths in Osman&rsquo;s own laugh-out-loud whodunit.&rdquo; &mdash;<i>Parade</i></b> <br>Four septuagenarians with a few tricks up their sleeves<br>A female cop with her first big case<br>A brutal murder<br>Welcome to...<br>THE THURSDAY MURDER CLUB</b><br>In a peaceful retirement village, four unlikely friends meet weekly in the Jigsaw Room to discuss unsolved crimes; together they call themselves the Thursday Murder Club. <br>When a local developer is found dead with a mysterious photograph left next to the body, the Thursday Murder Club suddenly find themselves in the middle of their first live case. <br>As the bodies begin to pile up, can our unorthodox but brilliant gang catch the killer, before it's too late?","D:\story_books\Richard Osman\The Thursday Murder Club--A Novel_ A (70)\cover.jpg","2025-07-04T21:14:08+05:30","epub","","70","","eng","story_books","2020-09-22T05:30:00+05:30","Penguin Publishing Group","","","1.0","2244869","","The Thursday Murder Club--A Novel: A Novel","Thursday Murder Club--A Novel, The","13921b38-cb95-492b-aac9-0bd657e1fbf2"
"Andrews, Ilona","Ilona Andrews","*Innkeeper Chronicles #2*
Dina DeMille doesn’t run your typical Bed and Breakfast. Her inn defies laws of physics, her fluffy dog is secretly a monster, and the only paying guest is a former Galactic tyrant with a price on her head. But the inn needs guests to thrive, and guests have been scarce, so when an Arbitrator shows up at Dina's door and asks her to host a peace summit between three warring species, she jumps on the chance. 
Unfortunately, for Dina, keeping the peace between Space Vampires, the Hope-Crushing Horde, and the devious Merchants of Baha-char is much easier said than done. On top of keeping her guests from murdering each other, she must find a chef, remodel the inn...and risk everything, even her life, to save the man she might fall in love with. But then it's all in the day's work for an Innkeeper… 
**“Andrews is an auto-buy no matter what the genre!” —*Romantic Times*** 
**“If there is one author that defines Urban Fantasy, it is Ilona Andrews.”* —Annie Tegelan, Fresh Fiction*** 
**""One of the brightest voices in urban fantasy and one of my favorite authors. Ilona Andrews delivers only the best."" —*New York Times bestselling author Jeaniene Frost
  

","D:\story_books\Ilona Andrews\Sweep in Peace (Innkeeper Chronicles (71)\cover.jpg","2025-07-04T21:14:08+05:30","epub","","71","amazon:B016WQUTTM","eng","story_books","2015-11-13T13:30:00+05:30","","","","1.0","2648498","","Sweep in Peace (Innkeeper Chronicles Book 2)","Sweep in Peace (Innkeeper Chronicles Book 2)","50c5125b-1cad-4421-852f-ca2276d5f073"
"Andrews, Ilona","Ilona Andrews","Dina DeMille may run the nicest Bed and Breakfast in Red Deer, Texas, but she caters to a very particular kind of guest… the kind that no one on Earth is supposed to know about. Guests like a former intergalactic tyrant with an impressive bounty on her head, the Lord Marshal of a powerful vampire clan, and a displaced-and-superhot werewolf; so don’t stand too close, or you may be collateral damage.
But what passes for Dina’s normal life is about to be thrown into chaos. First, she must rescue her long-distant older sister, Maud, who’s been exiled with her family to a planet that functions as the most lawless penal colony since Botany Bay. Then she agrees to help a guest whose last chance at saving his civilization could bring death and disaster to all Dina holds dear. Now Gertrude Hunt is under siege by a clan of assassins. To keep her guests safe and to find her missing parents, Dina will risk everything, even if she has to pay the ultimate price. Though Sean may have something to say about *that*! 
  

","D:\story_books\Ilona Andrews\One Fell Sweep (Innkeeper Chronicles (72)\cover.jpg","2025-07-04T21:14:08+05:30","epub","","72","","eng","story_books","2016-12-19T00:00:00+05:30","NYLA","","","1.0","568384","Werewolves & Shifters, vampires, Romance, Science Fiction & Fantasy, Paranormal & Urban, Romantic, fantasy, urban fantasy, Paranormal","One Fell Sweep (Innkeeper Chronicles #3)","One Fell Sweep (Innkeeper Chronicles #3)","d96ceee7-7a41-4e23-83c9-a04ae0990a01"
"Osman, Richard","Richard Osman","","D:\story_books\Richard Osman\The Bullet That Missed (The Thursday (73)\cover.jpg","2025-07-04T21:14:08+05:30","epub","9780241992395","73","isbn:9780241992395,mobi-asin:B09FSPKJT6","eng","story_books","2022-09-15T03:30:00+05:30","Penguin Books Ltd","","","1.0","1009053","","The Bullet That Missed (The Thursday Murder Club)","The Bullet That Missed (The Thursday Murder Club)","b0a51a45-74b2-4252-b279-357abce335f4"
"Osman, Richard","Richard Osman","","D:\story_books\Richard Osman\The Man Who Died Twice (The Thursday (74)\cover.jpg","2025-07-04T21:14:09+05:30","epub","","74","mobi-asin:B08GS1BT6T","eng","story_books","0101-01-01T05:30:00+05:30","","","","1.0","1334114","","The Man Who Died Twice (The Thursday Murder Club)","Man Who Died Twice (The Thursday Murder Club), The","40815f1c-0747-4443-aca7-0954b07ed96d"
"Harris, Heather G.","Heather G. Harris","","D:\story_books\Heather G. Harris\Challenge of the Court_ An Urban Fan (75)\cover.jpg","2025-07-04T21:14:09+05:30","epub","","75","mobi-asin:B0BK59TV9C","eng","story_books","2023-04-20T00:00:00+05:30","anonymous","","","1.0","1207423","","Challenge of the Court: An Urban Fantasy Novel (The Other Realm Book 5)","Challenge of the Court: An Urban Fantasy Novel (The Other Realm Book 5)","3e051e16-d938-47f5-80cc-4097ff7d6c04"
"Harris, Heather G.","Heather G. Harris","","D:\story_books\Heather G. Harris\Revival of the Court_ An Urban Fanta (76)\cover.jpg","2025-07-04T21:14:10+05:30","epub","","76","mobi-asin:B0C1HTCM9T","eng","story_books","2023-06-04T21:30:00+05:30","anonymous","","","1.0","484075","","Revival of the Court: An Urban Fantasy Novel (The Other Realm Book 7)","Revival of the Court: An Urban Fantasy Novel (The Other Realm Book 7)","4c84caed-48f7-4aa4-bb8e-3a2fffc2d6d7"
"Harris, Heather G.","Heather G. Harris","","D:\story_books\Heather G. Harris\Betrayal of the Court_ An Urban Fant (77)\cover.jpg","2025-07-04T21:14:10+05:30","epub","","77","mobi-asin:B0BX421TNW","eng","story_books","2023-05-12T02:30:00+05:30","anonymous","","","1.0","1215216","","Betrayal of the Court: An Urban Fantasy Novel (The Other Realm Book 6)","Betrayal of the Court: An Urban Fantasy Novel (The Other Realm Book 6)","989a8cfd-14b7-463a-8f03-fc240cab5929"
